ymd,h,m,v
20171103,16,0,392.64
20171103,16,5,453.12
20171103,16,10,482.88
20171103,16,15,480.96
20171103,16,20,469.44
20171103,16,25,487.68
20171103,16,30,486.72
20171103,16,35,351.36
20171103,16,40,332.16
20171103,16,45,447.36
20171103,16,50,488.64
20171103,16,55,485.76
20171103,17,0,485.76
20171103,17,5,488.64
20171103,17,10,407.04
20171103,17,15,345.6
20171103,17,20,438.72
20171103,17,25,490.56
20171103,17,30,466.56
20171103,17,35,470.4
20171103,17,40,491.52
20171103,17,45,482.88
20171103,17,50,471.36
20171103,17,55,353.28
20171103,18,0,338.88
20171103,18,5,402.24
20171103,18,10,457.92
20171103,18,15,481.92
20171103,18,20,485.76
20171103,18,25,379.2
20171103,18,30,313.92
20171103,18,35,355.2
20171103,18,40,445.44
20171103,18,45,487.68
20171103,18,50,485.76
20171103,18,55,482.88
20171103,19,0,480.96
20171103,19,5,484.8
20171103,19,10,485.76
20171103,19,15,370.56
20171103,19,20,375.36
20171103,19,25,415.68
20171103,19,30,438.72
20171103,19,35,479.04
20171103,19,40,483.84
20171103,19,45,357.12
20171103,19,50,389.76
20171103,19,55,456.96
20171103,20,0,481.92
20171103,20,5,481.92
20171103,20,10,484.8
20171103,20,15,480
20171103,20,20,486.72
20171103,20,25,460.8
20171103,20,30,347.52
20171103,20,35,434.88
20171103,20,40,455.04
20171103,20,45,478.08
20171103,20,50,480.96
20171103,20,55,485.76
20171103,21,0,330.24
20171103,21,5,371.52
20171103,21,10,415.68
20171103,21,15,451.2
20171103,21,20,477.12
20171103,21,25,483.84
20171103,21,30,472.32
20171103,21,35,341.76
20171103,21,40,354.24
20171103,21,45,431.04
20171103,21,50,456.96
20171103,21,55,481.92
20171103,22,0,473.28
20171103,22,5,480
20171103,22,10,480.96
20171103,22,15,353.28
20171103,22,20,423.36
20171103,22,25,473.28
20171103,22,30,478.08
20171103,22,35,471.36
20171103,22,40,483.84
20171103,22,45,482.88
20171103,22,50,362.88
20171103,22,55,398.4
20171103,23,0,440.64
20171103,23,5,463.68
20171103,23,10,477.12
20171103,23,15,476.16
20171103,23,20,473.28
20171103,23,25,336
20171103,23,30,309.12
20171103,23,35,436.8
20171103,23,40,453.12
20171103,23,45,433.92
20171103,23,50,455.04
20171103,23,55,477.12
20171104,0,0,476.16
20171104,0,5,484.8
20171104,0,10,480.96
20171104,0,15,347.52
20171104,0,20,358.08
20171104,0,25,462.72
20171104,0,30,487.68
20171104,0,35,487.68
20171104,0,40,489.6
20171104,0,45,335.04
20171104,0,50,335.04
20171104,0,55,317.76
20171104,1,0,385.92
20171104,1,5,422.4
20171104,1,10,472.32
20171104,1,15,460.8
20171104,1,20,474.24
20171104,1,25,487.68
20171104,1,30,480
20171104,1,35,489.6
20171104,1,40,380.16
20171104,1,45,424.32
20171104,1,50,440.64
20171104,1,55,484.8
20171104,2,0,483.84
20171104,2,5,490.56
20171104,2,10,483.84
20171104,2,15,336.96
20171104,2,20,342.72
20171104,2,25,446.4
20171104,2,30,485.76
20171104,2,35,485.76
20171104,2,40,477.12
20171104,2,45,483.84
20171104,2,50,488.64
20171104,2,55,485.76
20171104,3,0,379.2
20171104,3,5,348.48
20171104,3,10,423.36
20171104,3,15,465.6
20171104,3,20,469.44
20171104,3,25,482.88
20171104,3,30,478.08
20171104,3,35,427.2
20171104,3,40,331.2
20171104,3,45,322.56
20171104,3,50,326.4
20171104,3,55,392.64
20171104,4,0,456.96
20171104,4,5,481.92
20171104,4,10,484.8
20171104,4,15,486.72
20171104,4,20,482.88
20171104,4,25,456.96
20171104,4,30,342.72
20171104,4,35,341.76
20171104,4,40,343.68
20171104,4,45,428.16
20171104,4,50,429.12
20171104,4,55,473.28
20171104,5,0,352.32
20171104,5,5,327.36
20171104,5,10,330.24
20171104,5,15,329.28
20171104,5,20,331.2
20171104,5,25,315.84
20171104,5,30,313.92
20171104,5,35,311.04
20171104,5,40,310.08
20171104,5,45,311.04
20171104,5,50,308.16
20171104,5,55,259.2
20171104,6,0,174.72
20171104,6,5,144
20171104,6,10,150.72
20171104,6,15,145.92
20171104,6,20,140.16
20171104,6,25,147.84
20171104,6,30,146.88
20171104,6,35,143.04
20171104,6,40,143.04
20171104,6,45,140.16
20171104,6,50,124.8
20171104,6,55,120
20171104,7,0,111.36
20171104,7,5,93.12
20171104,7,10,70.08
20171104,7,15,68.16
20171104,7,20,54.72
20171104,7,25,48
20171104,7,30,44.16
20171104,7,35,46.08
20171104,7,40,45.12
20171104,7,45,45.12
20171104,7,50,45.12
20171104,7,55,48
20171104,8,0,49.92
20171104,8,5,52.8
20171104,8,10,48.96
20171104,8,15,47.04
20171104,8,20,45.12
20171104,8,25,48
20171104,8,30,45.12
20171104,8,35,43.2
20171104,8,40,46.08
20171104,8,45,42.24
20171104,8,50,47.04
20171104,8,55,48.96
20171104,9,0,46.08
20171104,9,5,42.24
20171104,9,10,46.08
20171104,9,15,48.96
20171104,9,20,45.12
20171104,9,25,48
20171104,9,30,46.08
20171104,9,35,46.08
20171104,9,40,46.08
20171104,9,45,44.16
20171104,9,50,45.12
20171104,9,55,47.04
20171104,10,0,45.12
20171104,10,5,46.08
20171104,10,10,48
20171104,10,15,56.64
20171104,10,20,54.72
20171104,10,25,58.56
20171104,10,30,57.6
20171104,10,35,57.6
20171104,10,40,54.72
20171104,10,45,55.68
20171104,10,50,57.6
20171104,10,55,54.72
20171104,11,0,57.6
20171104,11,5,53.76
20171104,11,10,55.68
20171104,11,15,57.6
20171104,11,20,54.72
20171104,11,25,54.72
20171104,11,30,53.76
20171104,11,35,58.56
20171104,11,40,55.68
20171104,11,45,51.84
20171104,11,50,50.88
20171104,11,55,48
20171104,12,0,46.08
20171104,12,5,46.08
20171104,12,10,46.08
20171104,12,15,47.04
20171104,12,20,50.88
20171104,12,25,51.84
20171104,12,30,50.88
20171104,12,35,51.84
20171104,12,40,49.92
20171104,12,45,51.84
20171104,12,50,49.92
20171104,12,55,50.88
20171104,13,0,49.92
20171104,13,5,52.8
20171104,13,10,51.84
20171104,13,15,51.84
20171104,13,20,52.8
20171104,13,25,52.8
20171104,13,30,53.76
20171104,13,35,57.6
20171104,13,40,60.48
20171104,13,45,60.48
20171104,13,50,62.4
20171104,13,55,62.4
20171104,14,0,58.56
20171104,14,5,60.48
20171104,14,10,60.48
20171104,14,15,61.44
20171104,14,20,58.56
20171104,14,25,60.48
20171104,14,30,56.64
20171104,14,35,53.76
20171104,14,40,55.68
20171104,14,45,55.68
20171104,14,50,60.48
20171104,14,55,54.72
20171104,15,0,55.68
20171104,15,5,52.8
20171104,15,10,49.92
20171104,15,15,49.92
20171104,15,20,51.84
20171104,15,25,51.84
20171104,15,30,49.92
20171104,15,35,50.88
20171104,15,40,49.92
20171104,15,45,52.8
20171104,15,50,53.76
20171104,15,55,49.92
20171104,16,0,51.84
20171104,16,5,49.92
